edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,,,0 1 2 4 6 8 10,7,2,0,5,0.4081632653061224,40.81632653061224,0.0014172335600907036,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.476190476190476,2,2,21,100,"100,200",0.14583333333333334,72,135,1.875,6,72,72,88,0,,56,0.503695143283748,0.75,0.3650793650793651,80,0,35,0.7460262725779968,71.42857142857143,0.14583333333333334,2,2,2,"0,1,2,4,6,8,10",12-1367,0 1 2 4 6 8 10,12-1367,0 2 4 8 12 16 20,24-1118485,2 2 2 2 2 1 1,3
12,,,0 1 2 5 6 7 8,7,3,0,5,1.0204081632653061,102.04081632653062,0.003968253968253967,0.8299319727891157,0.8148148148148148,0.6948745246770908,3.452380952380952,3,4,21,100,"100,300,400",0.1273148148148148,72,127,1.7638888888888888,6,72,72,89,1,3,45,0.5694130927361558,0.65,0.33333333333333337,84,22,27,0.7264247575460391,128.57142857142856,0.1273148148148148,5,5,2,"0,1,2,5,6,7,8",12-487,0 1 2 5 6 7 8,12-487,0 2 4 10 12 14 16,24-87061,4 3 1 1 1 1 1,6
12,,,0 1 2 5 6 7 9,7,3,0,5,0.8163265306122449,81.63265306122449,0.0022675736961451226,0.8639455782312925,0.8888888888888888,0.7744519962230396,2.8809523809523805,2,5,21,100,"100,200,300",0.09375,80,125,1.5625,6,80,80,98,0,,50,0.5286544942470931,0.7428571428571429,0.2857142857142857,90,10,26,0.6708824508824509,100,0.09375,4,5,4,"0,1,2,5,6,7,9",12-743,0 1 2 5 6 7 9,12-743,0 2 4 10 12 14 18,24-283669,3 3 2 1 1 1 1,15
12,,,0 1 2 5 6 8 9,7,3,0,5,0.8163265306122449,81.63265306122449,0.0017006802721088435,0.8639455782312925,0.8888888888888888,0.7744519962230396,2.476190476190476,2,6,21,100,"100,200,300",0.0970464135021097,79,125,1.5822784810126582,6,79,79,94,1,2,50,0.5115417327692715,0.8142857142857143,0.33333333333333337,84,4,22,0.6997619047619048,85.71428571428571,0.0970464135021097,4,4,6,"0,1,2,5,6,8,9",12-871,0 1 2 5 6 8 9,12-871,0 2 4 10 12 16 18,24-332821,3 3 2 1 1 1 1,15
12,,,0 1 3 4 5 6 7,7,3,0,5,1.0204081632653061,102.04081632653062,0.008503401360544212,0.8299319727891157,0.7407407407407407,0.6152970531311421,5.1428571428571415,4,4,21,100,"100,200,500",0.08958333333333335,80,123,1.5375,6,80,80,92,0,,52,0.6293507228553262,0.40714285714285714,0.2857142857142857,90,57,26,0.7080952380952381,185.71428571428572,0.08958333333333335,5,3,2,"0,1,3,4,5,6,7",12-251,0 1 3 4 5 6 7,12-251,0 2 6 8 10 12 14,24-21829,5 2 1 1 1 1 1,6
12,,,0 1 3 4 5 6 8,7,3,0,5,0.8163265306122448,81.63265306122447,0.005668934240362808,0.8639455782312926,0.8148148148148148,0.7318065577501442,4.285714285714286,3,5,21,100,"100,200,400",0.07738095238095237,84,123,1.4642857142857142,6,84,84,101,1,6,58,0.5759138487611345,0.5,0.2698412698412699,92,43,27,0.6590756302521009,157.14285714285714,0.07738095238095237,4,4,4,"0,1,3,4,5,6,8",12-379,0 1 3 4 5 6 8,12-379,0 2 6 8 10 12 16,24-70981,4 2 2 1 1 1 1,15
12,,,0 1 3 4 5 6 9,7,3,0,5,0.8163265306122448,81.63265306122447,0.004535147392290246,0.8639455782312926,0.8888888888888888,0.7744519962230396,3.7380952380952377,3,4,21,100,"100,200,300",0.09465020576131689,81,127,1.5679012345679013,6,81,81,105,1,6,51,0.5517234908007554,0.5,0.19047619047619047,102,32,38,0.63779787574854,142.85714285714283,0.09465020576131689,4,3,4,"0,1,3,4,5,6,9",12-635,0 1 3 4 5 6 9,12-635,0 2 6 8 10 12 18,24-267589,3 3 2 1 1 1 1,15
12,,,0 1 3 4 5 7 8,7,3,0,5,0.8163265306122449,81.63265306122449,0.003968253968253966,0.8639455782312925,0.8148148148148148,0.7318065577501444,3.5000000000000004,2,6,21,100,"100,200,400",0.08958333333333335,80,123,1.5375,6,80,80,94,1,6,53,0.5469065649112139,0.6071428571428572,0.33333333333333337,84,34,21,0.6997619047619048,128.57142857142856,0.08958333333333335,4,4,6,"0,1,3,4,5,7,8",12-443,0 1 3 4 5 7 8,12-443,0 2 6 8 10 14 16,24-83269,4 2 2 1 1 1 1,15
12,,,0 1 3 4 5 7 9,7,3,0,5,0.6122448979591837,61.224489795918366,0.002551020408163262,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.9523809523809526,2,5,21,100,"100,200,300",0.0905349794238683,81,125,1.5432098765432098,6,81,81,102,1,5,53,0.5196695549687297,0.6642857142857144,0.2222222222222222,98,13,34,0.6590756302521009,114.28571428571426,0.0905349794238683,3,3,5,"0,1,3,4,5,7,9",12-699,0 1 3 4 5 7 9,12-699,0 2 6 8 10 14 18,24-279877,3 2 2 2 1 1 1,20
12,,,0 1 3 4 5 8 9,7,3,0,5,0.8163265306122449,81.63265306122449,0.0022675736961451235,0.8639455782312925,0.8888888888888888,0.7744519962230396,2.7619047619047623,2,6,21,100,"100,200,300",0.11936936936936937,74,127,1.7162162162162162,6,74,74,97,2,"2,6",52,0.5151734317641485,0.7142857142857143,0.2857142857142857,90,7,33,0.6837301587301587,99.99999999999999,0.11936936936936937,4,4,7,"0,1,3,4,5,8,9",12-827,0 1 3 4 5 8 9,12-827,0 2 6 8 10 16 18,24-329029,3 3 2 1 1 1 1,15
