edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,EOS_sqrt,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members,largest_error,mean_error
24,,Unique,0 3 5 11 13 16 19,7,4,0,11,1.1836734693877553,59.18367346938776,0.001204648526077097,0.03470804699312678,0.9013605442176871,0.875,0.809660374656745,4.952380952380952,1,6,21,100,"100,150,250,300",0.06976744186046513,86,122,1.4186046511627908,7,86,86,98,1,6,59,0.5083777199516626,0.8714285714285714,0.2857142857142857,90,4,14,0.6737518037518038,71.42857142857143,2,2,3,"0,2,5,8,13,16,18",24-336165,,24-336165,0 3 5 11 13 16 19,24-336165,6 5 3 3 3 2 2,60,21,9.857142857142858
24,,Unique,0 2 6 11 14 17 20,7,4,0,11,0.7755102040816327,38.775510204081634,0.0007794784580498869,0.02791914142752042,0.935374149659864,0.9166666666666666,0.8465924077297984,4.714285714285714,1,5,21,100,"100,150,200,250",0.029126213592232997,103,121,1.174757281553398,11,103,103,104,5,"2,5,7,8,12",88,0.4966013883421295,0.9642857142857143,0.2063492063492064,100,0,5,0.6353810489713128,64.28571428571429,1,2,2,"0,3,6,9,13,15,19",24-565833,,24-565833,0 2 6 11 14 17 20,24-565833,5 4 4 3 3 3 2,60,22,13.428571428571429
24,,Burma,0 2 7 11 14 17 21,7,4,0,11,0.7755102040816327,38.775510204081634,0.0007086167800453518,0.026619856874997502,0.935374149659864,0.9166666666666666,0.8465924077297984,4.928571428571429,1,6,21,100,"100,150,200,250",0.034999999999999996,100,121,1.21,10,100,100,102,6,"2,5,6,9,11,12",85,0.4962655648499278,0.9642857142857143,0.25396825396825395,94,0,5,0.6426406926406927,71.42857142857143,1,4,0,"0,4,7,10,14,17,19",24-672913,,24-672913,0 2 7 11 14 17 21,24-672913,5 4 4 3 3 3 2,60,18,8.142857142857142
24,,Unique,0 4 8 10 14 18 20,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362807,0.023809523809523798,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 10,12-1387,0 4 8 10 14 18 20,24-1119301,4 4 4 4 4 2 2,3,18,6.571428571428571
24,,Unique,0 4 8 10 14 18 20,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362807,0.023809523809523798,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 10,12-1387,0 4 8 10 14 18 20,24-1119301,4 4 4 4 4 2 2,3,22,11.714285714285714
24,,Unique,0 4 8 10 14 18 20,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362807,0.023809523809523798,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 10,12-1387,0 4 8 10 14 18 20,24-1119301,4 4 4 4 4 2 2,3,20,8.857142857142858
24,,Unique,0 4 8 10 14 18 20,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362807,0.023809523809523798,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 10,12-1387,0 4 8 10 14 18 20,24-1119301,4 4 4 4 4 2 2,3,22,9.428571428571429
24,,Unique,0 4 8 10 14 16 20,7,2,0,11,0.8163265306122448,40.81632653061224,0.0008503401360544204,0.029160592175990194,0.9319727891156463,0.9166666666666666,0.8483160623691466,4.523809523809523,1,5,21,100,"100,200",0.0970464135021097,79,125,1.5822784810126582,6,79,79,83,0,,50,0.4909048686071721,0.9285714285714286,0.4285714285714286,72,0,10,0.7857142857142858,57.142857142857146,2,4,4,"0,2,6,8,12,16,20",24-1118533,0 2 4 5 7 8 10,12-1371,0 4 8 10 14 16 20,24-1118533,4 4 4 4 4 2 2,3,22,10.285714285714286
24,,Unique,0 4 6 10 14 18 20,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362814,0.023809523809523815,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809523,1,5,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 3 5 7 9 10,12-1387,0 4 6 10 14 18 20,24-1119301,4 4 4 4 4 2 2,3,22,10.285714285714286
24,,Unique,0 2 7 11 14 17 21,7,4,0,11,0.7755102040816327,38.775510204081634,0.0007086167800453518,0.026619856874997502,0.935374149659864,0.9166666666666666,0.8465924077297984,4.928571428571429,1,6,21,100,"100,150,200,250",0.034999999999999996,100,121,1.21,10,100,100,102,6,"2,5,6,9,11,12",85,0.4962655648499278,0.9642857142857143,0.25396825396825395,94,0,5,0.6426406926406927,71.42857142857143,1,4,0,"0,4,7,10,14,17,19",24-672913,,24-672913,0 2 7 11 14 17 21,24-672913,5 4 4 3 3 3 2,60,18,8.142857142857142
24,,Kora,0 4 8 10 14 18 22,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362809,0.023809523809523805,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809524,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 11,12-1387,0 4 8 10 14 18 22,24-1119301,4 4 4 4 4 2 2,3,15,4.285714285714286
24,,Ghana,0 4 8 10 14 18 22,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362809,0.023809523809523805,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809524,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 11,12-1387,0 4 8 10 14 18 22,24-1119301,4 4 4 4 4 2 2,3,15,4.285714285714286
24,,Unique,0 2 5 10 13 16 19,7,3,0,11,0.8979591836734693,44.897959183673464,0.0007086167800453515,0.026619856874997495,0.9251700680272109,0.9074074074074074,0.8371993694525692,4.738095238095238,1,5,21,100,"100,150,250",0.03535353535353536,99,120,1.2121212121212122,9,99,99,101,3,"2,7,9",83,0.4994149477995804,0.9714285714285714,0.2698412698412699,92,0,4,0.6590756302521009,57.142857142857146,1,3,3,"0,2,5,10,13,16,19",24-599077,,24-599077,0 2 5 10 13 16 19,24-599077,5 5 3 3 3 3 2,15,24,14.142857142857142
24,,Cambodia,0 4 8 10 14 18 22,7,2,0,11,0.816326530612245,40.81632653061225,0.0005668934240362809,0.023809523809523805,0.9319727891156463,0.9166666666666666,0.8483160623691468,4.523809523809524,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,12,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,2,6,10,12,16,20",24-1119301,0 2 4 5 7 9 11,12-1387,0 4 8 10 14 18 22,24-1119301,4 4 4 4 4 2 2,3,20,10
24,,Portugese,0 3 6 9 13 16 19,7,3,0,11,0.6122448979591836,30.61224489795918,0.0004251700680272105,0.020619652471058052,0.9489795918367347,0.9444444444444444,0.8542617913676793,4.523809523809524,0,4,21,150,"150,200,250",0.05311355311355311,91,120,1.3186813186813187,9,91,91,91,3,"4,5,9",69,0.49536671379201735,1,0.33333333333333337,84,0,0,0.713095238095238,42.857142857142854,0,3,3,"0,3,6,9,13,16,19",24-598601,,24-598601,0 3 6 9 13 16 19,24-598601,5 4 3 3 3 3 3,6,23,13.142857142857142
