edo,common_name,culture,pitches,cardinality,popularity,fragment1_name,fragment2_name,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,fragment1_EOS,fragment2_EOS,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,symmetry,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Gujari todi,Hindustani,0 1 3 6 8 11,6,0.008356546,S6-11,S6-11,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543217,0.8888888888888888,0.8888888888888888,0.753129276986592,2,2,6,15,100,"100,200,300",0.006172839506172838,0.006172839506172845,0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.356509480231409,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,0.07619047619047618,2,4,3,"0,1,2,4,7,9",12-663,"0,1,2,4,7,9",12-663,"0,2,4,8,14,18",24-278805,3 3 2 2 1 1,16
12,Marva,Hindustani,0 1 4 6 9 11,6,0.005571031,S6-13,S6-13,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543234,0.8888888888888888,0.8888888888888888,0.753129276986592,2,2,6,15,100,"100,200,300",0.006172839506172839,0.006172839506172843,0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.3548165396650265,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,0.07619047619047618,2,4,3,"0,2,3,4,7,9",12-669,"0,2,3,4,7,9",12-669,"0,4,6,8,14,18",24-278865,3 3 2 2 1 1,16
12,Nayaki kanada,Hindustani,0 2 3 5 7 10,6,0,S7-43,S5-5,3,0,5,0.3333333333333333,33.33333333333333,0.001736111111111111,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,5,15,100,"100,200,300",0.001594387755102041,0.0024999999999999988,0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,0.16774193548387095,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
12,Puriya,Hindustani,0 1 4 6 9 11,6,0,S6-13,S6-13,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543234,0.8888888888888888,0.8888888888888888,0.753129276986592,2,2,6,15,100,"100,200,300",0.006172839506172839,0.006172839506172843,0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.3548165396650265,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,0.07619047619047618,2,4,3,"0,2,3,4,7,9",12-669,"0,2,3,4,7,9",12-669,"0,4,6,8,14,18",24-278865,3 3 2 2 1 1,16
12,Rageshri,Hindustani,0 2 4 5 9 10,6,0.013927577,S5-11,S7-11,3,0,5,0.6666666666666666,66.66666666666666,0.002314814814814815,0.8888888888888888,0.8148148148148148,0.7104838385136969,1.3333333333333333,1,5,15,100,"100,200,400",0.002962962962962962,0.01058201058201058,0.08292682926829267,41,58,1.4146341463414633,6,41,41,48,0,,27,0.3495117379325361,0.7538461538461538,0.22666666666666668,58,4,12,0.7680137844611529,100,0.08292682926829267,2,4,4,"0,1,3,5,7,8",12-427,"0,1,3,5,7,8",12-427,"0,2,6,10,14,16",24-83013,4 2 2 2 1 1,10
12,Shankara,Hindustani,0 2 4 7 9 11,6,0.005571031,S7-21,S5-11,3,0,5,0.3333333333333333,33.33333333333333,0.0017361111111111125,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,4,15,100,"100,200,300",0.0015117157974300864,0.002962962962962962,0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,0.16774193548387095,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
12,Sohini,Hindustani,0 1 4 6 9 11,6,0.013927577,S6-13,S6-13,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543234,0.8888888888888888,0.8888888888888888,0.753129276986592,2,2,6,15,100,"100,200,300",0.006172839506172839,0.006172839506172843,0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.3548165396650265,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,0.07619047619047618,2,4,3,"0,2,3,4,7,9",12-669,"0,2,3,4,7,9",12-669,"0,4,6,8,14,18",24-278865,3 3 2 2 1 1,16
12,Adana,Hindustani,0 2 3 5 7 8 10,7,0.008356546,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Ahir bhairav,Hindustani,0 1 4 5 7 9 10,7,0.038997214,S7-27,S5-11,3,0,5,0.6122448979591837,61.224489795918366,0.0011337868480725628,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.261904761904762,1,6,21,100,"100,200,300",0.004145408163265305,0.0029629629629629663,0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.4959120428804491,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,0.09465020576131689,3,4,5,"0,1,3,5,6,8,9",12-875,"0,1,3,5,6,8,9",12-875,"0,2,6,10,12,16,18",24-332869,3 2 2 2 1 1 1,20
12,Alhaiya bilaval,Hindustani,0 2 4 5 7 9 10,7,0.008356546,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.0015943877551020396,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Asavari,Hindustani,0 1 3 5 7 8 10,7,0,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362815,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020413,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Bageshri,Hindustani,0 2 3 5 7 9 10,7,0.04178273,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362814,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Bhairav,Hindustani,0 1 4 5 7 8 11,7,0.008356546,S7-27,S5-7,3,0,5,0.8163265306122449,81.63265306122449,0.0017006802721088426,0.8639455782312925,0.8888888888888888,0.7744519962230396,2.476190476190476,2,7,21,100,"100,200,300",0.004145408163265305,0.011851851851851851,0.0970464135021097,79,125,1.5822784810126582,6,79,79,94,1,2,50,0.5115417327692715,0.8142857142857143,0.33333333333333337,84,4,22,0.6997619047619048,85.71428571428571,0.0970464135021097,4,4,6,"0,1,2,5,6,8,9",12-871,"0,1,2,5,6,8,9",12-871,"0,2,4,10,12,16,18",24-332821,3 3 2 1 1 1 1,15
12,Bhairavi,Hindustani,0 1 3 5 7 8 10,7,0.125348189,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362815,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020413,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Bhimpalasi,Hindustani,0 2 3 5 7 9 10,7,0.044568245,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362814,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Bilaskhani todi,Hindustani,0 1 3 5 7 8 10,7,0.005571031,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362815,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020413,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Chayanat,Hindustani,0 2 4 5 7 9 11,7,0.016713092,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362809,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,4,21,100,"100,200",0.0015943877551020396,0.002962962962962962,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Darbari kanada,Hindustani,0 2 3 5 7 8 10,7,0.150417827,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Jaijaivanti,Hindustani,0 2 3 5 7 8 10,7,0.019498607,S7-43,S5-11,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.2619047619047614,1,5,21,100,"100,200",0.001594387755102041,0.002962962962962964,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Jhinjhoti,Hindustani,0 2 4 5 7 9 10,7,0.033426184,S7-43,S5-11,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.2619047619047614,1,5,21,100,"100,200",0.0015943877551020396,0.0029629629629629663,0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,0.15343915343915346,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Jogiya,Hindustani,0 1 4 5 7 8 11,7,0.013927577,S7-27,S5-7,3,0,5,0.8163265306122449,81.63265306122449,0.0017006802721088426,0.8639455782312925,0.8888888888888888,0.7744519962230396,2.476190476190476,2,7,21,100,"100,200,300",0.004145408163265305,0.011851851851851851,0.0970464135021097,79,125,1.5822784810126582,6,79,79,94,1,2,50,0.5115417327692715,0.8142857142857143,0.33333333333333337,84,4,22,0.6997619047619048,85.71428571428571,0.0970464135021097,4,4,6,"0,1,2,5,6,8,9",12-871,"0,1,2,5,6,8,9",12-871,"0,2,4,10,12,16,18",24-332821,3 3 2 1 1 1 1,15
