edo,common_name,culture,pitches,cardinality,unique_step_sizes,step_mean_error_min,step_mean_error_max,step_mean_error,step_mean_error_cents,evenness_of_spread,step_similarity,constituent_similarity,area,unevenness,consecutive_semitones,runs,IV_sum,smallest_step,step_sizes,symmetry_norm,symmetry_distinct,symmetry_manifestations,symmetry_ratio,symmetry_distinct_edges,unique_n_chords,unique_n_chords_prime,diatonic_n_chords,diagnostic_interval_count,diagnostic_intervals,diagnostic_combinations,roughness,coherence_quotient,sameness_quotient,rahn_differences,rahn_contradictions,rahn_ambiguities,cardinality_variety_ratio,mode_variance,m2,P5,Mm3,normal,normal_name,normal_as_12edo,normal12_name,normal_as_24edo,normal24_name,necklace_family,necklace_family_members
12,Hirajoshi,Japanese,0 2 3 7 8,5,3,0,5,1.28,128,0.0038888888888888883,0.7866666666666666,0.8148148148148148,0.572651614658247,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661224,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Kumoi Joshi,Japanese,0 1 5 7 8,5,3,0,5,1.28,128,0.0038888888888888896,0.7866666666666666,0.8148148148148148,0.5726516146582469,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Iwato,Japanese,0 1 5 6 10,5,3,0,5,1.28,128,0.003888888888888892,0.7866666666666666,0.8148148148148148,0.572651614658247,2.5333333333333328,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Kokin Joshi,Japanese,0 2 5 7 8,5,4,0,5,0.8800000000000001,88.00000000000001,0.0027777777777777783,0.8533333333333333,0.8333333333333334,0.6522290862041956,2.533333333333333,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Akebono,Japanese,0 2 3 7 9,5,4,0,5,0.8800000000000001,88.00000000000001,0.002777777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Han Iwato,Japanese,0 1 5 7 10,5,4,0,5,0.8800000000000001,88.00000000000001,0.00277777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.21052265156463665,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Ryukan,Okinawan,0 4 5 7 11,5,3,0,5,1.28,128,0.0038888888888888875,0.7866666666666666,0.8148148148148148,0.5726516146582471,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22817473108981243,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,1,5,6,8",12-355,"0,1,5,6,8",12-355,"0,2,10,12,16",24-70661,4 4 2 1 1,6
12,Yosenpo Rising,Japanese,0 2 5 7 10,5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Yosenpo Descending,Japanese,0 2 5 7 9,5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Isenpo Rising,Japanese,0 1 5 7 10,5,4,0,5,0.8800000000000001,88.00000000000001,0.00277777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.21052265156463665,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Isenpo Descending,Japanese,0 1 5 7 8,5,3,0,5,1.28,128,0.0038888888888888896,0.7866666666666666,0.8148148148148148,0.5726516146582469,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Gagaku Ritsu,Japanese,0 2 5 7 9,5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Hira-choshi,Japanese,0 2 3 7 8,5,3,0,5,1.28,128,0.0038888888888888883,0.7866666666666666,0.8148148148148148,0.572651614658247,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661224,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Yona-nukji Major,Japanese,0 2 4 7 9,5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Akikaze-choshi,Japanese,0 2 3 7 9,5,4,0,5,0.8800000000000001,88.00000000000001,0.002777777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Kokin-joshi,Japanese,0 1 5 7 10,5,4,0,5,0.8800000000000001,88.00000000000001,0.00277777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.21052265156463665,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Han Kumoi-joshi,Japanese,0 2 5 7 8,5,4,0,5,0.8800000000000001,88.00000000000001,0.0027777777777777783,0.8533333333333333,0.8333333333333334,0.6522290862041956,2.533333333333333,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Akebono 1,Japanese,0 2 3 7 9,5,4,0,5,0.8800000000000001,88.00000000000001,0.002777777777777778,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2105226515646367,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,2,5,7,8",12-421,"0,2,5,7,8",12-421,"0,4,10,14,16",24-82961,4 3 2 2 1,12
12,Akebono 2,Japanese,0 1 5 7 8,5,3,0,5,1.28,128,0.0038888888888888896,0.7866666666666666,0.8148148148148148,0.5726516146582469,2.533333333333333,1,5,10,100,"100,200,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,21,3,"2,3,6",15,0.22620084656661227,0.8,0.25,30,4,1,0.7111111111111111,120,2,3,2,"0,2,3,7,8",12-397,"0,2,3,7,8",12-397,"0,4,6,14,16",24-82001,4 4 2 1 1,6
12,Jiao,China,0 2 5 8 10,5,2,0,5,0.48,48,0.0011111111111111113,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,3,10,200,"200,300",0.08750000000000002,20,27,1.35,5,20,20,20,1,6,13,0.19086915945646266,0.96,0.30000000000000004,28,0,1,0.7555555555555555,60,0,2,2,"0,2,4,6,9",12-597,"0,2,4,6,9",12-597,"0,4,8,12,18",24-266513,3 3 2 2 2,2
12,Jin,China,0 3 6 8 10,5,2,0,5,0.48,48,0.001111111111111111,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,3,10,200,"200,300",0.08750000000000002,20,27,1.35,5,20,20,20,1,6,13,0.19086915945646266,0.96,0.30000000000000004,28,0,1,0.7555555555555555,60,0,2,2,"0,2,4,6,9",12-597,"0,2,4,6,9",12-597,"0,4,8,12,18",24-266513,3 3 2 2 2,2
12,Pyeongjo,Korea,0 2 5 7 10,5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Kyemyeonjo,Korea,0 3 5 8 10,5,2,0,5,0.48,48,0.0005555555555555551,0.92,0.9166666666666666,0.7318065577501446,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Gong,China,0 2 4 7 9,5,2,0,5,0.48,48,0.0005555555555555552,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Shang,China,0 2 5 7 10,5,2,0,5,0.48,48,0.0005555555555555567,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.18821215770016797,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Jue,China,0 3 5 8 10,5,2,0,5,0.48,48,0.0005555555555555551,0.92,0.9166666666666666,0.7318065577501446,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Zhi,China,0 2 5 7 9,5,2,0,5,0.48,48,0.0005555555555555553,0.92,0.9166666666666666,0.7318065577501445,2.266666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Yu,China,0 3 5 7 10,5,2,0,5,0.48,48,0.0005555555555555557,0.92,0.9166666666666666,0.7318065577501445,2.2666666666666666,0,4,10,200,"200,300",0.18333333333333335,15,26,1.7333333333333334,4,15,15,15,1,4,7,0.188212157700168,1,0.5,20,0,0,1,40,0,4,2,"0,2,4,7,9",12-661,"0,2,4,7,9",12-661,"0,4,8,14,18",24-278801,3 3 2 2 2,2
12,Yunnan,China,0 3 5 9 10,5,4,0,5,0.8800000000000001,88.00000000000001,0.0027777777777777775,0.8533333333333333,0.8333333333333334,0.6522290862041957,2.5333333333333328,1,5,10,100,"100,200,300,400",0.07142857142857145,21,27,1.2857142857142858,6,21,21,22,4,"1,3,4,6",15,0.2127824711703096,0.8,0.19999999999999996,32,2,3,0.6793650793650793,120,1,3,1,"0,1,3,6,8",12-331,"0,1,3,6,8",12-331,"0,2,6,12,16",24-69701,4 3 2 2 1,12
12,Prometheus,Western Classical,0 2 4 6 9 10,6,3,0,5,0.3333333333333333,33.33333333333333,0.0009645061728395066,0.9444444444444444,0.8888888888888888,0.7900613100596456,0.6666666666666666,1,4,15,100,"100,200,300",0.11000000000000001,40,62,1.55,6,40,40,42,3,"1,3,5",27,0.32681521599676683,0.9384615384615385,0.4,45,0,4,0.8408882783882784,83.33333333333333,1,2,2,"0,1,3,5,7,9",12-683,"0,1,3,5,7,9",12-683,"0,2,6,10,14,18",24-279621,3 2 2 2 2 1,5
12,Neapolitan Prometheus,Western Classical,0 1 4 6 9 10,6,3,0,5,0.6666666666666666,66.66666666666666,0.002314814814814816,0.8888888888888888,0.8888888888888888,0.753129276986592,1.3333333333333333,1,6,15,100,"100,200,300",0.1,40,60,1.5,6,40,40,47,0,,24,0.33959634491445345,0.7538461538461538,0.24,57,4,12,0.7767857142857143,100,2,2,4,"0,1,3,4,7,9",12-667,"0,1,3,4,7,9",12-667,"0,2,6,8,14,18",24-278853,3 3 2 2 1 1,16
12,Tcherepnin Hexatonic,Western Classical,0 1 4 5 8 9,6,2,0,5,1,100,0.00173611111111111,0.8333333333333334,0.8333333333333334,0.7161972439135386,1,1,6,15,100,"100,300",0.4631578947368421,19,63,3.3157894736842106,4,19,19,19,0,,0,0.3313403274423734,1,0.64,27,0,0,2.0285714285714285,16.666666666666668,3,3,2,"0,1,4,5,8,9",12-819,"0,1,4,5,8,9",12-819,"0,2,8,10,16,18",24-328965,3 3 3 1 1 1,4
12,Minor Blues,Jazz,0 3 5 6 7 10,6,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543186,0.8888888888888888,0.8888888888888888,0.753129276986592,1.9999999999999998,2,5,15,100,"100,200,300",0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.3548165396650265,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,2,4,3,"0,2,3,4,7,9",12-669,"0,2,3,4,7,9",12-669,"0,4,6,8,14,18",24-278865,3 3 2 2 1 1,16
12,Major Blues,Jazz,0 2 3 4 7 9,6,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543204,0.8888888888888888,0.8888888888888888,0.753129276986592,2,2,5,15,100,"100,200,300",0.07619047619047618,42,58,1.380952380952381,6,42,42,51,1,4,30,0.3548165396650265,0.6,0.17333333333333334,62,10,16,0.7162280701754385,116.66666666666667,2,4,3,"0,2,3,4,7,9",12-669,"0,2,3,4,7,9",12-669,"0,4,6,8,14,18",24-278865,3 3 2 2 1 1,16
12,Augmented,Jazz,0 2 4 6 8 10,6,1,0,5,0,0,1.71193772834421e-33,1,1,0.8269933431326992,0,0,1,15,200,200,1,12,72,6,3,12,12,12,0,,0,0.3149724489777976,1,1,0,0,0,3.5,0,0,0,0,"0,2,4,6,8,10",12-1365,"0,2,4,6,8,10",12-1365,"0,4,8,12,16,20",24-1118481,2 2 2 2 2 2,1
12,Honchoshi,Japanese,0 1 5 7 8 10,6,3,0,5,0.6666666666666666,66.66666666666666,0.003279320987654322,0.8888888888888888,0.8148148148148148,0.7104838385136968,2,1,5,15,100,"100,200,400",0.08292682926829267,41,58,1.4146341463414633,6,41,41,47,2,"4,6",27,0.35804229380827163,0.676923076923077,0.2666666666666667,55,12,9,0.7723039215686275,116.66666666666667,2,4,3,"0,2,3,5,7,8",12-429,"0,2,3,5,7,8",12-429,"0,4,6,10,14,16",24-83025,4 2 2 2 1 1,10
12,Hexatonic Ritsu,Japanese,0 1 3 5 8 10,6,3,0,5,0.3333333333333333,33.33333333333333,0.0017361111111111119,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,4,15,100,"100,200,300",0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
12,Iwato-choshi,Japanese,0 1 3 5 6 10,6,3,0,5,0.6666666666666666,66.66666666666666,0.003279320987654322,0.8888888888888888,0.8148148148148148,0.7104838385136969,1.9999999999999998,1,5,15,100,"100,200,400",0.08292682926829267,41,58,1.4146341463414633,6,41,41,47,2,"4,6",27,0.35804229380827163,0.676923076923077,0.2666666666666667,55,12,9,0.7723039215686275,116.66666666666667,2,4,3,"0,2,3,5,7,8",12-429,"0,2,3,5,7,8",12-429,"0,4,6,10,14,16",24-83025,4 2 2 2 1 1,10
12,Huowu,China,0 2 5 7 9 11,6,3,0,5,0.3333333333333333,33.33333333333333,0.0015432098765432113,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.3333333333333333,1,4,15,100,"100,200,300",0.09743589743589745,39,58,1.4871794871794872,6,39,39,45,1,1,26,0.3323994771481311,0.8153846153846154,0.28,54,0,12,0.7976190476190477,83.33333333333333,1,4,3,"0,2,4,6,7,9",12-725,"0,2,4,6,7,9",12-725,"0,4,8,12,14,18",24-282897,3 2 2 2 2 1,5
12,Shanxi,China,0 2 4 5 7 10,6,3,0,5,0.3333333333333333,33.33333333333333,0.0015432098765432091,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.3333333333333333,1,4,15,100,"100,200,300",0.09743589743589745,39,58,1.4871794871794872,6,39,39,45,1,1,26,0.3323994771481311,0.8153846153846154,0.28,54,0,12,0.7976190476190477,83.33333333333333,1,4,3,"0,2,4,6,7,9",12-725,"0,2,4,6,7,9",12-725,"0,4,8,12,14,18",24-282897,3 2 2 2 2 1,5
12,Guizhou,China,0 2 5 7 9 10,6,3,0,5,0.3333333333333333,33.33333333333333,0.0017361111111111112,0.9444444444444444,0.8888888888888888,0.7900613100596456,1.6666666666666663,1,4,15,100,"100,200,300",0.16774193548387095,31,57,1.8387096774193548,5,31,31,41,1,1,15,0.3334975269016424,0.7538461538461538,0.31999999999999995,51,0,16,0.895054945054945,83.33333333333333,1,5,4,"0,2,4,5,7,9",12-693,"0,2,4,5,7,9",12-693,"0,4,8,10,14,18",24-279825,3 2 2 2 2 1,5
12,Bai,China,0 2 4 5 7 11,6,3,0,5,0.6666666666666666,66.66666666666666,0.0032793209876543204,0.8888888888888888,0.8148148148148148,0.710483838513697,2,1,5,15,100,"100,200,400",0.08292682926829267,41,58,1.4146341463414633,6,41,41,47,2,"4,6",27,0.3597352343746539,0.676923076923077,0.2666666666666667,55,12,9,0.7723039215686275,116.66666666666667,2,4,3,"0,1,3,5,6,8",12-363,"0,1,3,5,6,8",12-363,"0,2,6,10,12,16",24-70725,4 2 2 2 1 1,10
12,Major,Western Classical,0 2 4 5 7 9 11,7,2,0,5,0.4081632653061225,40.81632653061225,0.0005668934240362809,0.9319727891156463,0.9166666666666666,0.8483160623691468,2.261904761904762,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.4884270896918715,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Natural minor,Western Classical,0 2 3 5 7 8 10,7,2,0,5,0.4081632653061224,40.81632653061224,0.0005668934240362807,0.9319727891156463,0.9166666666666666,0.8483160623691467,2.2619047619047614,1,4,21,100,"100,200",0.15343915343915346,63,121,1.9206349206349207,6,63,63,63,1,6,30,0.48842708969187143,0.9928571428571429,0.5555555555555556,56,0,1,1,42.857142857142854,2,6,6,"0,1,3,5,6,8,10",12-1387,"0,1,3,5,6,8,10",12-1387,"0,2,6,10,12,16,20",24-1119301,2 2 2 2 2 1 1,3
12,Harmonic minor,Western Classical,0 2 3 5 7 8 11,7,3,0,5,0.6122448979591837,61.224489795918366,0.0011337868480725615,0.8979591836734694,0.8888888888888888,0.8113840292960932,2.261904761904762,1,6,21,100,"100,200,300",0.09465020576131689,81,127,1.5679012345679013,6,81,81,94,0,,51,0.4961702636517886,0.8714285714285714,0.3492063492063492,82,0,18,0.7104978354978355,71.42857142857143,3,4,5,"0,1,3,4,6,8,9",12-859,"0,1,3,4,6,8,9",12-859,"0,2,6,8,12,16,18",24-332101,3 2 2 2 1 1 1,20
